gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
202	380	373	Herkingen	4.08833279999999988	51.71056666666666666667	-54973	23723	3	01010000206E6C04000CA8DCE9735A1040047B39D9F3DA4940	01010000206C6C040000000000A0D7EAC000000000C02AD740
203	380	381	Heumen (Herv kerktoren)	5.84385224444444518	51.76446111111111111111	66255	29855	3	01010000206E6C0400312E82CD1A6017409DA497DCD9E14940	01010000206C6C040000000000F02CF04000000000C027DD40
204	380	389	Hipolitushoef	4.96233280000000043	52.90795833333333333333	5277	156640	3	01010000206E6C0400F278FFC46DD913400FE689FA37744A40	01010000206C6C040000000000009DB44000000000001F0341
205	381	411	Hoornaar	4.94683835555555618	51.88076388888888888889	4334	42359	3	01010000206E6C040094D66EFE8FC91340452301DFBCF04940	01010000206C6C04000000000000EEB04000000000E0AEE440
206	382	428	IJzendooru	5.5324994666666667	51.90618333333333333333	44627	45383	3	01010000206E6C040017E2498A47211640686CC2D0FDF34940	01010000206C6C04000000000060CAE54000000000E028E640
207	382	431	Jaarsveld	4.97807168888888896	51.96985000000000000000	6471	52272	3	01010000206E6C040061AFF39F8BE913404703780B24FC4940	01010000206C6C0400000000000047B940000000000086E940
208	382	436	Jutrijp	5.65143557777777783	52.99464722222222222222	51523	166554	3	01010000206E6C0400950698ED119B16403740A599507F4A40	01010000206C6C0400000000006028E94000000000D0540441
209	383	447	Keppel (Kasteel)	6.22793280000000049	51.99406388888888888889	92290	55810	3	01010000206E6C04002ABE463767E91840C8744A7C3DFF4940	01010000206C6C0400000000002088F640000000004040EB40
210	383	450	Kerkwijk	5.22046891111111133	51.77558055555555555556	23225	30709	3	01010000206E6C04001E072C9AC2E1144027C3403946E34940	01010000206C6C04000000000040AED6400000000040FDDD40
211	383	452	Kesteren	5.57234946666666708	51.93528055555555555555	47338	48645	3	01010000206E6C040095DD84FA154A16401159F345B7F74940	01010000206C6C040000000000401DE74000000000A0C0E740
212	384	473	Kruiningen	4.03506335555555573	51.44974722222222222222	-58990	-5248	3	01010000206E6C0400BB98F5A5E7231040A574255191B94940	01010000206C6C040000000000C0CDECC0000000000080B4C0
213	384	485	Leeghwater (Stoomgemaal)	4.55730780000000024	52.22053333333333333334	-22312	80206	3	01010000206E6C04000C395BE5AE3A12401A2CAF6F3A1C4A40	01010000206C6C04000000000000CAD5C000000000E094F340
214	384	489	Leerdam	5.09314391111111142	51.89150555555555555555	14402	43573	3	01010000206E6C0400CC2C101E615F14401EA8A2DA1CF24940	01010000206C6C0400000000000021CC4000000000A046E540
215	385	501	Lienden	5.51979391111111184	51.94988333333333333333	43710	50236	3	01010000206E6C04005287E3DA4414164050D7EDC695F94940	01010000206C6C040000000000C057E540000000008087E840
216	388	575	Molen 0p Vlieland	5.06673280000000048	53.29770833333333333333	12189	200018	3	01010000206E6C04003348669A55441440E8B4814E1BA64A40	01010000206C6C04000000000080CEC74000000000906A0841
217	388	576	Molenaarsgraaf	4.81809668888888876	51.87584444444444444445	-4529	41812	3	01010000206E6C040084F96E23BB451340D7A2B6AB1BF04940	01010000206C6C04000000000000B1B1C000000000806AE440
218	388	581	Mook	5.88159668888888909	51.75087500000000000000	68879	28377	3	01010000206E6C04009F284C48C1861740273108AC1CE04940	01010000206C6C040000000000F0D0F0400000000040B6DB40
219	388	582	Moordrecht	4.67117724444444438	51.98706388888888888889	-14603	54204	3	01010000206E6C040044D56A1649AF124091EB081C58FE4940	01010000206C6C0400000000008085CCC0000000008077EA40
220	388	584	Muiderberg	5.11446613333333389	52.32948611111111111111	15716	92303	3	01010000206E6C040038AA2C9C36751440AEDAD3992C2A4A40	01010000206C6C04000000000000B2CE4000000000F088F640
221	388	594	Neer-Langbroek	5.32766057777777835	52.01200833333333333333	30461	57050	3	01010000206E6C0400E3F92641864F15401B79337D89014A40	01010000206C6C04000000000040BFDD400000000040DBEB40
222	389	604	Nieuwe-Niedorp	4.89428002222222247	52.73801944444444444444	702	137731	3	01010000206E6C040071A46324BE931340BAD9D06B775E4A40	01010000206C6C04000000000000F085400000000018D00041
223	389	616	Niftrik	5.6695244666666671	51.79586944444444444444	54187	33204	3	01010000206E6C04001DD260D297AD164025E3C90CDFE54940	01010000206C6C0400000000006075EA40000000008036E040
224	390	641	Obdam (R.K. kerktoren)	4.90760780000000008	52.67646666666666666667	1604	130882	3	01010000206E6C0400C7606AF063A113407015B17596564A40	01010000206C6C040000000000001099400000000020F4FF40
225	390	643	Ochten	5.5662578000000007	51.90587222222222222222	46950	45369	3	01010000206E6C04006D6BB015D94316404F66F89EF3F34940	01010000206C6C040000000000C0ECE640000000002027E640
